Hugo_Symbol	refseq.ID	protein.ID	aa.length
CALCRL	NM_005795	NP_005786	461
CALD1	NM_033138	NP_149129	793
CALM1	NM_006888	NP_008819	149
CALM2	NM_001743	NP_001734	149
CALM3	NM_005184	NP_005175	149
CALML3	NM_005185	NP_005176	149
CALML4	NM_033429	NP_219501	196
CALML5	NM_017422	NP_059118	146
CALML6	NM_138705	NP_619650	181
CALN1	NM_031468	NP_113656	261
CALR	NM_004343	NP_004334	417
CALR3	NM_145046	NP_659483	384
CALU	NM_001199671	NP_001186600	323
CALY	NM_015722	NP_056537	217
CAMK1	NM_003656	NP_003647	370
CAMK1D	NM_153498	NP_705718	385
CAMK1G	NM_020439	NP_065172	476
CAMK2A	NM_015981	NP_057065	489
CAMK2B	NM_001220	NP_001211	666
CAMK2D	NM_001221	NP_001212	499
CAMK2G	NM_172171	NP_751911	556
CAMK4	NM_001744	NP_001735	473
CAMKK1	NM_172207	NP_757344	520
CAMKK2	NM_006549	NP_006540	588
CAMKMT	NM_024766	NP_079042	323
CAMKV	NM_024046	NP_076951	501
CAMP	NM_004345	NP_004336	173
CAMSAP1	NM_015447	NP_056262	1602
CAMSAP2	NM_203459	NP_982284	1478
CAMSAP3	NM_001080429	NP_001073898	1276
CAMTA1	NM_015215	NP_056030	1673
CAMTA2	NM_001171167	NP_001164638	1241
CAND1	NM_018448	NP_060918	1230
CAND2	NM_001162499	NP_001155971	1236
CANT1	NM_138793	NP_620148	401
CANX	NM_001746	NP_001737	592
CAP1	NM_006367	NP_006358	475
CAP2	NM_006366	NP_006357	477
CAPG	NM_001747	NP_001738	348
CAPN1	NM_005186	NP_005177	714
CAPN10	NM_023083	NP_075571	672
CAPN11	NM_007058	NP_008989	739
CAPN12	NM_144691	NP_653292	719
CAPN13	NM_144575	NP_653176	669
CAPN14	NM_001145122	NP_001138594	684
CAPN2	NM_001748	NP_001739	700
CAPN3	NM_000070	NP_000061	821
CAPN5	NM_004055	NP_004046	640
CAPN6	NM_014289	NP_055104	641
CAPN7	NM_014296	NP_055111	813
CAPN8	NM_001143962	NP_001137434	703
CAPN9	NM_006615	NP_006606	690
CAPNS1	NM_001003962	NP_001003962	268
CAPNS2	NM_032330	NP_115706	248
CAPRIN1	NM_005898	NP_005889	709
CAPRIN2	NM_001002259	NP_001002259	1127
CAPS	NM_004058	NP_004049	189
CAPS2	NM_032606	NP_115995	557
CAPSL	NM_001042625	NP_001036090	208
CAPZA1	NM_006135	NP_006126	286
CAPZA2	NM_006136	NP_006127	286
CAPZA3	NM_033328	NP_201585	299
CAPZB	NM_001206540	NP_001193469	277
CARD10	NM_014550	NP_055365	1032
CARD11	NM_032415	NP_115791	1154
CARD14	NM_024110	NP_077015	1004
CARD16	NM_001017534	NP_001017534	197
CARD17	NM_001007232	NP_001007233	110
CARD18	NM_021571	NP_067546	90
CARD6	NM_032587	NP_115976	1037
CARD8	NM_001184900	NP_001171829	537
CARD9	NM_052813	NP_434700	536
CARHSP1	NM_001042476	NP_001035941	147
CARKD	NM_018210	NP_060680	390
CARM1	NM_199141	NP_954592	608
CARNS1	NM_001166222	NP_001159694	950
CARS	NM_001014437	NP_001014437	831
CARS2	NM_024537	NP_078813	564
CARTPT	NM_004291	NP_004282	116
CASC1	NM_018272	NP_060742	722
CASC3	NM_007359	NP_031385	703
CASC4	NM_138423	NP_612432	436
CASC5	NM_170589	NP_733468	2342
CASD1	NM_022900	NP_075051	797
CASK	NM_003688	NP_003679	921
CASKIN1	NM_020764	NP_065815	1431
CASKIN2	NM_020753	NP_065804	1202
CASP1	NM_033292	NP_150634	404
CASP10	NM_032977	NP_116759	522
CASP12	NM_001191016	NP_001177945	341
CASP14	NM_012114	NP_036246	242
CASP2	NM_032982	NP_116764	452
CASP3	NM_004346	NP_004337	277
CASP4	NM_001225	NP_001216	377
CASP5	NM_001136112	NP_001129584	447
CASP6	NM_001226	NP_001217	293
CASP7	NM_001267057	NP_001253986	388
CASP8	NM_001080125	NP_001073594	538
CASP8AP2	NM_001137668	NP_001131140	1982
CASP9	NM_001229	NP_001220	416
CASQ1	NM_001231	NP_001222	396
CASQ2	NM_001232	NP_001223	399
CASR	NM_001178065	NP_001171536	1088
CASS4	NM_020356	NP_065089	786
CAST	NM_001042440	NP_001035905	750
CAT	NM_001752	NP_001743	527
CATSPER1	NM_053054	NP_444282	780
CATSPER2	NM_172095	NP_742093	530
CATSPER3	NM_178019	NP_821138	398
CATSPER4	NM_198137	NP_937770	472
CAV1	NM_001753	NP_001744	178
CAV2	NM_001233	NP_001224	162
CAV3	NM_033337	NP_203123	151
CBFA2T2	NM_005093	NP_005084	604
CBFA2T3	NM_005187	NP_005178	653
CBFB	NM_022845	NP_074036	187
CBL	NM_005188	NP_005179	906
CBLB	NM_170662	NP_733762	982
CBLC	NM_012116	NP_036248	474
CBLL1	NM_024814	NP_079090	491
CBLN1	NM_004352	NP_004343	193
CBLN2	NM_182511	NP_872317	224
CBLN3	NM_001039771	NP_001034860	205
CBLN4	NM_080617	NP_542184	201
CBR1	NM_001757	NP_001748	277
CBR3	NM_001236	NP_001227	277
CBR4	NM_032783	NP_116172	237
CBS	NM_000071	NP_000062	551
CBWD1	NM_018491	NP_060961	395
CBWD2	NM_172003	NP_742000	395
CBWD3	NM_201453	NP_958861	395
CBWD5	NM_001024916	NP_001020087	347
CBWD6	NM_001085457	NP_001078926	395
CBX1	NM_001127228	NP_001120700	185
CBX2	NM_005189	NP_005180	532
CBX3	NM_016587	NP_057671	183
CBX4	NM_003655	NP_003646	560
CBX5	NM_012117	NP_036249	191
CBX6	NM_014292	NP_055107	412
CBX7	NM_175709	NP_783640	251
CBX8	NM_020649	NP_065700	389
CBY1	NM_001002880	NP_001002880	169
CBY3	NM_001164444	NP_001157916	242
CC2D1A	NM_017721	NP_060191	951
CC2D1B	NM_032449	NP_115825	858
CC2D2A	NM_001080522	NP_001073991	1620
CCAR1	NM_018237	NP_060707	1150
CCBE1	NM_133459	NP_597716	406
CCBL1	NM_001122671	NP_001116143	422
CCBL2	NM_001008661	NP_001008661	454
CCBP2	NM_001296	NP_001287	384
CCDC101	NM_138414	NP_612423	293
CCDC102A	NM_033212	NP_149989	550
CCDC102B	NM_001093729	NP_001087198	513
CCDC103	NM_213607	NP_998772	242
CCDC104	NM_080667	NP_542398	342
CCDC109B	NM_017918	NP_060388	336
CCDC11	NM_145020	NP_659457	514
CCDC110	NM_152775	NP_689988	833
CCDC111	NM_152683	NP_689896	560
CCDC113	NM_014157	NP_054876	377
CCDC114	NM_144577	NP_653178	670
CCDC12	NM_144716	NP_653317	179
CCDC120	NM_001163321	NP_001156793	661
CCDC121	NM_001142683	NP_001136155	440
CCDC122	NM_144974	NP_659411	273
CCDC124	NM_138442	NP_612451	223
CCDC125	NM_176816	NP_789786	511
CCDC13	NM_144719	NP_653320	715
CCDC130	NM_030818	NP_110445	396
CCDC132	NM_017667	NP_060137	964
CCDC136	NM_001201372	NP_001188301	434
CCDC138	NM_144978	NP_659415	665
CCDC141	NM_173648	NP_775919	1530
CCDC144A	NM_014695	NP_055510	1427
CCDC146	NM_020879	NP_065930	955
CCDC147	NM_001008723	NP_001008723	872
CCDC149	NM_001130726	NP_001124198	529
CCDC150	NM_001080539	NP_001074008	1101
CCDC151	NM_145045	NP_659482	595
CCDC154	NM_001143980	NP_001137452	667
CCDC155	NM_144688	NP_653289	562
CCDC157	NM_001017437	NP_001017437	752
CCDC158	NM_001042784	NP_001036249	1113
CCDC164	NM_145038	NP_659475	740
CCDC169-SOHLH2	NM_001198910	NP_001185839	502
CCDC170	NM_025059	NP_079335	715
CCDC171	NM_173550	NP_775821	1326
CCDC172	NM_198515	NP_940917	258
CCDC174	NM_016474	NP_057558	467
CCDC175	NM_001164399	NP_001157871	793
CCDC176	NM_025057	NP_079333	529
CCDC178	NM_001105528	NP_001098998	867
CCDC18	NM_206886	NP_996769	1299
CCDC19	NM_012337	NP_036469	551
CCDC22	NM_014008	NP_054727	627
CCDC25	NM_018246	NP_060716	208
CCDC27	NM_152492	NP_689705	656
CCDC28A	NM_015439	NP_056254	274
CCDC28B	NM_024296	NP_077272	200
CCDC3	NM_031455	NP_113643	270
CCDC30	NM_001080850	NP_001074319	783
CCDC33	NM_025055	NP_079331	755
CCDC34	NM_030771	NP_110398	373
CCDC37	NM_182628	NP_872434	611
CCDC38	NM_182496	NP_872302	563
CCDC39	NM_181426	NP_852091	941
CCDC40	NM_017950	NP_060420	1142
CCDC41	NM_001042399	NP_001035858	701
CCDC42	NM_144681	NP_653282	316
CCDC42B	NM_001144872	NP_001138344	308
CCDC47	NM_020198	NP_064583	483
CCDC51	NM_001256964	NP_001243893	411
CCDC53	NM_016053	NP_057137	194
CCDC57	NM_198082	NP_932348	915
CCDC58	NM_001017928	NP_001017928	144
CCDC6	NM_005436	NP_005427	474
CCDC62	NM_201435	NP_958843	684
CCDC63	NM_152591	NP_689804	563
CCDC64	NM_207311	NP_997194	573
CCDC67	NM_181645	NP_857596	604
CCDC68	NM_025214	NP_079490	335
CCDC73	NM_001008391	NP_001008392	1079
CCDC75	NM_174931	NP_777591	259
CCDC77	NM_032358	NP_115734	488
CCDC79	NM_001136505	NP_001129977	727
CCDC8	NM_032040	NP_114429	538
CCDC80	NM_199511	NP_955805	950
CCDC81	NM_001156474	NP_001149946	652
CCDC82	NM_024725	NP_079001	544
CCDC85A	NM_001080433	NP_001073902	553
CCDC85B	NM_006848	NP_006839	202
CCDC85C	NM_001144995	NP_001138467	419
CCDC87	NM_018219	NP_060689	849
CCDC88A	NM_001135597	NP_001129069	1870
CCDC88B	NM_032251	NP_115627	1476
CCDC88C	NM_001080414	NP_001073883	2028
CCDC89	NM_152723	NP_689936	374
CCDC90A	NM_001031713	NP_001026883	359
CCDC90B	NM_021825	NP_068597	254
CCDC91	NM_018318	NP_060788	441
CCDC93	NM_019044	NP_061917	631
CCDC94	NM_018074	NP_060544	323
CCDC96	NM_153376	NP_699207	555
CCDC97	NM_052848	NP_443080	343
CCHCR1	NM_001105564	NP_001099034	871
CCIN	NM_005893	NP_005884	588
CCK	NM_001174138	NP_001167609	115
CCKAR	NM_000730	NP_000721	428
CCKBR	NM_176875	NP_795344	447
CCL1	NM_002981	NP_002972	96
CCL11	NM_002986	NP_002977	97
CCL13	NM_005408	NP_005399	98
CCL14	NM_032962	NP_116738	109
CCL15	NM_032965	NP_116741	113
CCL16	NM_004590	NP_004581	120
CCL17	NM_002987	NP_002978	94
CCL18	NM_002988	NP_002979	89
CCL19	NM_006274	NP_006265	98
CCL2	NM_002982	NP_002973	99
CCL20	NM_004591	NP_004582	96
CCL21	NM_002989	NP_002980	134
CCL22	NM_002990	NP_002981	93
CCL23	NM_005064	NP_005055	137
CCL24	NM_002991	NP_002982	119
CCL25	NM_005624	NP_005615	150
CCL26	NM_006072	NP_006063	94
CCL27	NM_006664	NP_006655	112
CCL28	NM_148672	NP_683513	127
CCL3	NM_002983	NP_002974	92
CCL3L1	NM_021006	NP_066286	93
CCL3L3	NM_001001437	NP_001001437	93
CCL4	NM_002984	NP_002975	92
CCL4L1	NM_001001435	NP_001001435	92
CCL4L2	NM_207007	NP_996890	92
CCL5	NM_002985	NP_002976	91
CCL7	NM_006273	NP_006264	99
CCL8	NM_005623	NP_005614	99
CCM2	NM_001029835	NP_001025006	465
CCNA1	NM_003914	NP_003905	465
CCNA2	NM_001237	NP_001228	432
CCNB1	NM_031966	NP_114172	433
CCNB1IP1	NM_021178	NP_067001	277
CCNB2	NM_004701	NP_004692	398
CCNB3	NM_033031	NP_149020	1395
CCNC	NM_005190	NP_005181	283
CCND1	NM_053056	NP_444284	295
CCND2	NM_001759	NP_001750	289
CCND3	NM_001760	NP_001751	292
CCNDBP1	NM_012142	NP_036274	360
CCNE1	NM_001238	NP_001229	410
CCNE2	NM_057749	NP_477097	404
CCNF	NM_001761	NP_001752	786
CCNG1	NM_004060	NP_004051	295
CCNG2	NM_004354	NP_004345	344
CCNH	NM_001239	NP_001230	323
CCNI	NM_006835	NP_006826	377
CCNI2	NM_001039780	NP_001034869	369
CCNJ	NM_001134375	NP_001127847	383
CCNJL	NM_024565	NP_078841	435
CCNK	NM_001099402	NP_001092872	580
CCNL1	NM_020307	NP_064703	526
CCNL2	NM_030937	NP_112199	520
CCNO	NM_021147	NP_066970	350
CCNT1	NM_001240	NP_001231	726
CCNT2	NM_058241	NP_490595	730
CCNY	NM_145012	NP_659449	341
CCNYL1	NM_001142300	NP_001135772	308
CCPG1	NM_004748	NP_004739	757
CCR1	NM_001295	NP_001286	355
CCR10	NM_016602	NP_057686	362
CCR2	NM_001123041	NP_001116513	374
CCR3	NM_178328	NP_847898	376
CCR4	NM_005508	NP_005499	360
CCR5	NM_001100168	NP_001093638	352
CCR6	NM_031409	NP_113597	374
CCR7	NM_001838	NP_001829	378
CCR8	NM_005201	NP_005192	355
CCR9	NM_031200	NP_112477	369
CCRL1	NM_178445	NP_848540	350
CCRL2	NM_001130910	NP_001124382	356
CCRN4L	NM_012118	NP_036250	431
CCS	NM_005125	NP_005116	274
CCT2	NM_006431	NP_006422	535
CCT3	NM_005998	NP_005989	545
CCT4	NM_006430	NP_006421	539
CCT5	NM_012073	NP_036205	541
CCT6A	NM_001762	NP_001753	531
CCT6B	NM_006584	NP_006575	530
CCT7	NM_006429	NP_006420	543
CCT8	NM_006585	NP_006576	548
CCT8L2	NM_014406	NP_055221	557
CCZ1	NM_015622	NP_056437	482
CCZ1B	NM_198097	NP_932765	482
CD101	NM_004258	NP_004249	1021
CD109	NM_133493	NP_598000	1445
CD151	NM_004357	NP_004348	253
CD163	NM_004244	NP_004235	1156
CD163L1	NM_174941	NP_777601	1453
CD164	NM_006016	NP_006007	197
CD164L2	NM_207397	NP_997280	173
CD177	NM_020406	NP_065139	437
CD180	NM_005582	NP_005573	661
CD19	NM_001178098	NP_001171569	557
CD1A	NM_001763	NP_001754	327
CD1B	NM_001764	NP_001755	333
CD1C	NM_001765	NP_001756	333
CD1D	NM_001766	NP_001757	335
CD1E	NM_030893	NP_112155	388
CD2	NM_001767	NP_001758	351
CD200	NM_001004196	NP_001004196	294
CD200R1	NM_138806	NP_620161	348
CD200R1L	NM_001008784	NP_001008784	271
CD207	NM_015717	NP_056532	328
CD209	NM_021155	NP_066978	404
CD22	NM_001771	NP_001762	847
CD226	NM_006566	NP_006557	336
CD244	NM_001166663	NP_001160135	370
CD247	NM_198053	NP_932170	164
CD248	NM_020404	NP_065137	757
CD27	NM_001242	NP_001233	260
CD274	NM_014143	NP_054862	290
CD276	NM_001024736	NP_001019907	534
CD28	NM_006139	NP_006130	220
CD2AP	NM_012120	NP_036252	639
CD2BP2	NM_006110	NP_006101	341
CD300A	NM_007261	NP_009192	299
CD300C	NM_006678	NP_006669	224
CD300E	NM_181449	NP_852114	205
CD300LB	NM_174892	NP_777552	238
CD300LD	NM_001115152	NP_001108624	194
CD300LF	NM_139018	NP_620587	290
CD300LG	NM_145273	NP_660316	332
CD302	NM_014880	NP_055695	232
CD320	NM_016579	NP_057663	282
CD33	NM_001772	NP_001763	364
CD34	NM_001025109	NP_001020280	385
CD36	NM_001001548	NP_001001548	472
CD37	NM_001774	NP_001765	281
CD38	NM_001775	NP_001766	300
CD3D	NM_000732	NP_000723	171
CD3E	NM_000733	NP_000724	207
CD3EAP	NM_012099	NP_036231	510
CD3G	NM_000073	NP_000064	182
CD4	NM_000616	NP_000607	458
CD40	NM_001250	NP_001241	277
CD40LG	NM_000074	NP_000065	261
CD44	NM_000610	NP_000601	742
CD46	NM_172359	NP_758869	399
CD47	NM_001777	NP_001768	323
CD48	NM_001256030	NP_001242959	252
CD5	NM_014207	NP_055022	495
CD53	NM_000560	NP_000551	219
CD55	NM_001114752	NP_001108224	440
CD58	NM_001779	NP_001770	250
CD59	NM_001127223	NP_001120695	128
CD5L	NM_005894	NP_005885	347
CD6	NM_006725	NP_006716	668
CD63	NM_001780	NP_001771	238
CD68	NM_001251	NP_001242	354
CD69	NM_001781	NP_001772	199
CD7	NM_006137	NP_006128	240
CD70	NM_001252	NP_001243	193
CD72	NM_001782	NP_001773	359
CD74	NM_001025159	NP_001020330	296
CD79A	NM_001783	NP_001774	226
CD79B	NM_001039933	NP_001035022	230
CD80	NM_005191	NP_005182	288
CD81	NM_004356	NP_004347	236
CD82	NM_002231	NP_002222	267
CD83	NM_004233	NP_004224	205
CD84	NM_001184879	NP_001171808	345
CD86	NM_175862	NP_787058	329
CD8A	NM_001768	NP_001759	235
CD8B	NM_172213	NP_757362	243
CD9	NM_001769	NP_001760	228
CD93	NM_012072	NP_036204	652
CD96	NM_198196	NP_937839	585
CD97	NM_078481	NP_510966	835
CD99	NM_002414	NP_002405	185
CD99L2	NM_001242614	NP_001229543	272
CDA	NM_001785	NP_001776	146
CDADC1	NM_030911	NP_112173	514
CDC123	NM_006023	NP_006014	336
CDC14A	NM_033312	NP_201569	623
CDC14B	NM_033331	NP_201588	498
CDC16	NM_001078645	NP_001072113	620
CDC20	NM_001255	NP_001246	499
CDC20B	NM_001170402	NP_001163873	519
CDC23	NM_004661	NP_004652	597
CDC25A	NM_001789	NP_001780	524
CDC25B	NM_021873	NP_068659	580
CDC25C	NM_001790	NP_001781	473
CDC26	NM_139286	NP_644815	85
CDC27	NM_001114091	NP_001107563	830
CDC34	NM_004359	NP_004350	236
CDC37	NM_007065	NP_008996	378
CDC37L1	NM_017913	NP_060383	337
CDC40	NM_015891	NP_056975	579
CDC42	NM_001039802	NP_001034891	191
CDC42BPA	NM_003607	NP_003598	1719
CDC42BPB	NM_006035	NP_006026	1711
CDC42BPG	NM_017525	NP_059995	1551
CDC42EP1	NM_152243	NP_689449	391
CDC42EP2	NM_006779	NP_006770	210
CDC42EP3	NM_001270436	NP_001257365	254
CDC42EP4	NM_012121	NP_036253	356
CDC42EP5	NM_145057	NP_659494	148
CDC42SE2	NM_020240	NP_064625	84
CDC45	NM_001178010	NP_001171481	598
CDC5L	NM_001253	NP_001244	802
CDC6	NM_001254	NP_001245	560
CDC7	NM_003503	NP_003494	574
CDC73	NM_024529	NP_078805	531
CDCA4	NM_145701	NP_663747	241
CDCA5	NM_080668	NP_542399	252
CDCA7	NM_031942	NP_114148	450
CDCA7L	NM_018719	NP_061189	454
CDCA8	NM_001256875	NP_001243804	280
CDCP1	NM_022842	NP_073753	836
CDCP2	NM_201546	NP_963840	449
CDH1	NM_004360	NP_004351	882
CDH10	NM_006727	NP_006718	788
CDH11	NM_001797	NP_001788	796
CDH12	NM_004061	NP_004052	794
CDH13	NM_001220488	NP_001207417	760
CDH15	NM_004933	NP_004924	814
CDH16	NM_004062	NP_004053	829
CDH17	NM_004063	NP_004054	832
CDH18	NM_004934	NP_004925	790
CDH19	NM_021153	NP_066976	772
CDH2	NM_001792	NP_001783	906
CDH20	NM_031891	NP_114097	801
CDH22	NM_021248	NP_067071	828
CDH23	NM_022124	NP_071407	3354
CDH24	NM_022478	NP_071923	819
CDH26	NM_177980	NP_817089	832
CDH3	NM_001793	NP_001784	829
CDH4	NM_001794	NP_001785	916
CDH5	NM_001795	NP_001786	784
CDH6	NM_004932	NP_004923	790
CDH7	NM_033646	NP_387450	785
CDH8	NM_001796	NP_001787	799
CDH9	NM_016279	NP_057363	789
CDHR1	NM_033100	NP_149091	859
CDHR2	NM_001171976	NP_001165447	1310
CDHR3	NM_152750	NP_689963	885
CDHR4	NM_001007540	NP_001007541	788
CDHR5	NM_021924	NP_068743	845
CDIP1	NM_013399	NP_037531	208
CDIPT	NM_006319	NP_006310	213
CDK1	NM_001786	NP_001777	297
CDK10	NM_052988	NP_443714	360
CDK11A	NM_024011	NP_076916	780
CDK11B	NM_033486	NP_277021	782
CDK12	NM_016507	NP_057591	1490
CDK13	NM_003718	NP_003709	1512
CDK14	NM_012395	NP_036527	451
CDK15	NM_001261435	NP_001248364	429
CDK16	NM_001170460	NP_001163931	570
CDK17	NM_002595	NP_002586	523
CDK18	NM_212503	NP_997668	504
CDK19	NM_015076	NP_055891	502
CDK2	NM_001798	NP_001789	298
CDK20	NM_001039803	NP_001034892	346
CDK2AP1	NM_004642	NP_004633	115
CDK2AP2	NM_005851	NP_005842	126
CDK3	NM_001258	NP_001249	305
CDK4	NM_000075	NP_000066	303
CDK5	NM_004935	NP_004926	292
CDK5R1	NM_003885	NP_003876	307
CDK5R2	NM_003936	NP_003927	367
CDK5RAP1	NM_016408	NP_057492	587
CDK5RAP2	NM_018249	NP_060719	1893
CDK5RAP3	NM_176096	NP_788276	506
CDK6	NM_001259	NP_001250	326
CDK7	NM_001799	NP_001790	346
CDK8	NM_001260	NP_001251	464
CDK9	NM_001261	NP_001252	372
CDKAL1	NM_017774	NP_060244	579
CDKL1	NM_004196	NP_004187	358
CDKL2	NM_003948	NP_003939	493
CDKL3	NM_001113575	NP_001107047	592
CDKL4	NM_001009565	NP_001009565	315
CDKL5	NM_003159	NP_003150	1030
CDKN1A	NM_000389	NP_000380	164
CDKN1B	NM_004064	NP_004055	198
CDKN1C	NM_000076	NP_000067	316
CDKN2A	NM_001195132	NP_001182061	167
CDKN2AIP	NM_017632	NP_060102	580
CDKN2AIPNL	NM_080656	NP_542387	116
CDKN2B	NM_004936	NP_004927	138
CDKN2C	NM_001262	NP_001253	168
CDKN2D	NM_079421	NP_524145	166
CDKN3	NM_005192	NP_005183	212
CDNF	NM_001029954	NP_001025125	187
CDO1	NM_001801	NP_001792	200
CDON	NM_001243597	NP_001230526	1287
CDPF1	NM_207327	NP_997210	123
CDR2	NM_001802	NP_001793	454
CDRT1	NM_006382	NP_006373	752
CDS1	NM_001263	NP_001254	461
CDS2	NM_003818	NP_003809	445
CDT1	NM_030928	NP_112190	546
CDX1	NM_001804	NP_001795	265
CDX2	NM_001265	NP_001256	313
CDX4	NM_005193	NP_005184	284
CDY1	NM_004680	NP_004671	554
CDY1B	NM_001003895	NP_001003895	554
CDY2A	NM_004825	NP_004816	541
CDY2B	NM_001001722	NP_001001722	541
CDYL	NM_004824	NP_004815	544
CDYL2	NM_152342	NP_689555	506
CEACAM1	NM_001712	NP_001703	526
CEACAM16	NM_001039213	NP_001034302	425
CEACAM18	NM_001080405	NP_001073874	398
CEACAM19	NM_020219	NP_064604	300
CEACAM20	NM_001102597	NP_001096067	596
CEACAM21	NM_001098506	NP_001091976	293
CEACAM3	NM_001815	NP_001806	252
CEACAM4	NM_001817	NP_001808	244
CEACAM5	NM_004363	NP_004354	702
CEACAM6	NM_002483	NP_002474	344
CEACAM7	NM_006890	NP_008821	265
CEACAM8	NM_001816	NP_001807	349
CEBPA	NM_004364	NP_004355	358
CEBPB	NM_005194	NP_005185	345
CEBPD	NM_005195	NP_005186	269
CEBPE	NM_001805	NP_001796	281
CEBPG	NM_001806	NP_001797	150
CEBPZ	NM_005760	NP_005751	1054
CECR1	NM_017424	NP_059120	511
CECR2	NM_031413	NP_113601	1484
CECR5	NM_033070	NP_149061	423
CEL	NM_001807	NP_001798	756
CELA1	NM_001971	NP_001962	258
CELA2A	NM_033440	NP_254275	269
CELA2B	NM_015849	NP_056933	269
CELA3A	NM_005747	NP_005738	270
CELA3B	NM_007352	NP_031378	270
CELF1	NM_001172639	NP_001166110	512
CELF2	NM_006561	NP_006552	521
CELF3	NM_007185	NP_009116	465
CELF4	NM_020180	NP_064565	486
CELF5	NM_021938	NP_068757	485
CELF6	NM_052840	NP_443072	481
CELSR1	NM_014246	NP_055061	3014
CELSR2	NM_001408	NP_001399	2923
CELSR3	NM_001407	NP_001398	3312
CENPA	NM_001809	NP_001800	140
CENPB	NM_001810	NP_001801	599
CENPBD1	NM_145039	NP_659476	187
CENPC1	NM_001812	NP_001803	943
CENPE	NM_001813	NP_001804	2701
CENPF	NM_016343	NP_057427	3114
CENPH	NM_022909	NP_075060	247
CENPI	NM_006733	NP_006724	756
CENPJ	NM_018451	NP_060921	1338
CENPK	NM_022145	NP_071428	269
CENPL	NM_001127181	NP_001120653	390
CENPM	NM_024053	NP_076958	180
CENPN	NM_001100625	NP_001094095	353
CENPO	NM_024322	NP_077298	300
CENPP	NM_001012267	NP_001012267	288
CENPQ	NM_018132	NP_060602	268
CENPT	NM_025082	NP_079358	561
CENPV	NM_181716	NP_859067	272
CEP112	NM_145036	NP_659473	955
CEP120	NM_153223	NP_694955	986
CEP128	NM_152446	NP_689659	1094
CEP135	NM_025009	NP_079285	1140
CEP152	NM_001194998	NP_001181927	1710
CEP164	NM_014956	NP_055771	1460
CEP170	NM_014812	NP_055627	1584
CEP19	NM_032898	NP_116287	167
CEP250	NM_007186	NP_009117	2442
CEP290	NM_025114	NP_079390	2479
CEP350	NM_014810	NP_055625	3117
CEP41	NM_018718	NP_061188	373
CEP55	NM_018131	NP_060601	464
CEP57	NM_014679	NP_055494	500
CEP57L1	NM_001083535	NP_001077004	460
CEP63	NM_025180	NP_079456	703
CEP70	NM_024491	NP_077817	597
CEP72	NM_018140	NP_060610	647
CEP78	NM_001098802	NP_001092272	722
CEP85	NM_022778	NP_073615	762
CEP85L	NM_001178035	NP_001171506	808
CEP89	NM_032816	NP_116205	783
CEP95	NM_138363	NP_612372	821
CEP97	NM_024548	NP_078824	865
CEPT1	NM_001007794	NP_001007795	416
CER1	NM_005454	NP_005445	267
CERCAM	NM_016174	NP_057258	595
CERK	NM_022766	NP_073603	537
CERKL	NM_001030311	NP_001025482	558
CERS1	NM_021267	NP_067090	350
CERS2	NM_181746	NP_859530	380
CERS3	NM_178842	NP_849164	383
CERS4	NM_024552	NP_078828	394
CERS5	NM_147190	NP_671723	392
CERS6	NM_001256126	NP_001243055	392
CES1	NM_001025195	NP_001020366	568
CES2	NM_003869	NP_003860	623
CES3	NM_024922	NP_079198	571
CES4A	NM_173815	NP_776176	468
CES5A	NM_001190158	NP_001177087	604
CETN1	NM_004066	NP_004057	172
CETN2	NM_004344	NP_004335	172
CETN3	NM_004365	NP_004356	167
CETP	NM_000078	NP_000069	493
CFB	NM_001710	NP_001701	764
CFC1	NM_032545	NP_115934	223
CFC1B	NM_001079530	NP_001072998	223
CFD	NM_001928	NP_001919	253
CFDP1	NM_006324	NP_006315	299
CFH	NM_000186	NP_000177	1231
CFHR1	NM_002113	NP_002104	330
CFHR2	NM_005666	NP_005657	270
CFHR3	NM_021023	NP_066303	330
CFHR4	NM_001201550	NP_001188479	578
CFHR5	NM_030787	NP_110414	569
CFI	NM_000204	NP_000195	583
CFL1	NM_005507	NP_005498	166
CFL2	NM_138638	NP_619579	166
CFLAR	NM_003879	NP_003870	480
CFP	NM_001145252	NP_001138724	469
CFTR	NM_000492	NP_000483	1480
CGA	NM_001252383	NP_001239312	147
CGB	NM_000737	NP_000728	165
CGB1	NM_033377	NP_203695	155
CGB2	NM_033378	NP_203696	163
CGB5	NM_033043	NP_149032	165
CGB7	NM_033142	NP_149133	165
CGB8	NM_033183	NP_149439	165
CGN	NM_020770	NP_065821	1203
CGNL1	NM_001252335	NP_001239264	1302
CGREF1	NM_006569	NP_006560	318
CGRRF1	NM_006568	NP_006559	332
CH25H	NM_003956	NP_003947	272
CHAC1	NM_024111	NP_077016	264
CHAC2	NM_001008708	NP_001008708	184
CHAD	NM_001267	NP_001258	359
CHADL	NM_138481	NP_612490	762
CHAF1A	NM_005483	NP_005474	956
CHAF1B	NM_005441	NP_005432	559
CHAMP1	NM_032436	NP_115812	812
CHAT	NM_020549	NP_065574	748
CHCHD1	NM_203298	NP_976043	118
CHCHD10	NM_213720	NP_998885	142
CHCHD2	NM_016139	NP_057223	151
CHCHD3	NM_017812	NP_060282	227
CHCHD4	NM_144636	NP_653237	155
CHCHD5	NM_032309	NP_115685	110
CHCHD6	NM_032343	NP_115719	235
CHCHD7	NM_001011668	NP_001011668	110
