cytoband	5q31.2	7q32.3	17q11.2	7p12.1	16q23.1	12p13.2	3p13	18p11.21	12q21.33	17p13.2	20q13.13	9q21.32	
	SEMA6A	GIMAP6			SYCE1L							CYLC2	
	PCDHB16	WEE2			MIR1538							DAPK1	
	HMHB1	MIR490			MIR1910							DBC1	
	SIL1	ZNF862			C16orf95							DBH	
	ARAP3	ACTR3C			MIR4719							SARDH	
	YTHDC2	CTAGE4			MIR5093							DNM1	
	GRAMD3	CTAGE8										DMRT1	
	PCYOX1L	SMKR1										ECM2	
	SAP30L	ZNF783										TOR1A	
	TXNDC15	MIR548F4										LPAR1	
	NDFIP1	MTRNR2L6										S1PR3	
	FBXO38	TMEM178B										MEGF9	
	YIPF5	MIR4468										ELAVL2	
	TIGD6	MIR5707										ENDOG	
	SPRY4											ENG	
	SLC4A9											STOM	
	SLC25A2											FANCC	
	TSSK1B											FANCG	
	PSD2											FBP1	
	MEGF10											FKTN	
	SPINK7											FCN1	
	SMIM3											FCN2	
	FCHSD1											FOXD4	
	LYRM7											FOXE1	
	CDKN2AIPNL											FPGS	
	ZNF300											FXN	
	MYOZ3											NR5A1	
	PRDM6											FUT7	
	FTMT											GALT	
	FNIP1											GAS1	
	SLC35A4											NR6A1	
	MARCH3											GCNT1	
	SCGB3A2											B4GALT1	
	PPARGC1B											GLDC	
	PRRC1											GLE1	
	ZNF474											GNG10	
	AFAP1L1											GOLGA1	
	GRPEL2											GOLGA2	
	SOWAHA											RAPGEF1	
	SHROOM1											GRIN1	
	C5orf24											GSN	
	C5orf20											HNRNPK	
	SLC36A2											HSD17B3	
	CEP120											DNAJA1	
	SLC25A48											HSPA5	
	SRFBP1											TNC	
	ZMAT2											IARS	
	CCDC112											IFNA1	
	PRELID2											IFNA2	
	SH3RF2											IFNA4	
	PLAC8L1											IFNA5	
	ADAMTS19											IFNA7	
	SPATA24											IFNA8	
	DNAJC18											IFNA10	
	STK32A											IFNA13	
	AQPEP											IFNA14	
	SLC36A1											IFNA16	
	RELL2											IFNA17	
	SLC36A3											IFNA21	
	KIF4B											IFNB1	
	CHSY3											IFNW1	
	FAM170A											IL11RA	
	ARSI											JAK2	
	IRGM											LCN1	
	CATSPER3											LCN2	
	DND1											LMX1B	
	C5orf48											MLLT3	
	PROB1											MTAP	
	C5orf46											MUSK	
	ARHGEF37											NCBP1	
	SPINK6											NDUFA8	
	ANKHD1											NDUFB6	
	MIR143											NFIB	
	MIR145											NFIL3	
	SPINK14											NFX1	
	C5orf56											NINJ1	
	IGIP											NOTCH1	
	CTXN3											NPR2	
	GRXCR2											NTRK2	
	SPINK9											ROR2	
	CCNI2											ODF2	
	MIR1303											OMD	
	TICAM2											OGN	
	MIR3141											ORM1	
	MIR3936											ORM2	
	MIR3661											PAEP	
	MIR378H											PAPPA	
	MIR4460											PAX5	
	MIR5197											PDCL	
	MIR5692C1											PBX3	
												PCSK5	
												PGM5	
												PHF2	
												PPP2R4	
												PPP3R2	
												PPP6C	
												PRKACG	
												PRSS3	
												PSMB7	
												PSMD5	
												PTCH1	
												PTGDS	
												PTGS1	
												PTPN3	
												PTPRD	
												RAD23B	
												RALGDS	
												RFX3	
												RGS3	
												RLN1	
												RLN2	
												RORB	
												RPL7A	
												RPL12	
												RPS6	
												CCL19	
												CCL21	
												SET	
												SH3GL2	
												SLC1A1	
												SMARCA2	
												SNAPC3	
												SNAPC4	
												SPTAN1	
												STXBP1	
												SURF1	
												SURF2	
												SURF4	
												MED22	
												SURF6	
												SYK	
												TAL2	
												TEK	
												TESK1	
												TGFBR1	
												TLE1	
												TLN1	
												TLR4	
												TMOD1	
												TPM2	
												TRAF1	
												TRAF2	
												TSC1	
												TTF1	
												TXN	
												TYRP1	
												VAV2	
												VCP	
												VLDLR	
												CORO2A	
												XPA	
												ZFP37	
												ZNF79	
												ZNF189	
												ZFAND5	
												NR4A3	
												BRD3	
												NUP214	
												LHX3	
												GFI1B	
												PIP5K1B	
												RECK	
												IKBKAP	
												CDC14B	
												TMEFF1	
												SSNA1	
												EDF1	
												CTNNAL1	
												MPDZ	
												FBP2	
												DPM2	
												FUBP3	
												PRPF4	
												KLF4	
												GTF3C5	
												CER1	
												LHX2	
												PLAA	
												GRHPR	
												FAM189A2	
												TJP2	
												MED27	
												PTGES	
												GABBR2	
												GDA	
												GNA14	
												RALGPS1	
												ADAMTSL2	
												TRIM14	
												MELK	
												RUSC2	
												PPP1R26	
												SEC16A	
												ZBTB5	
												KIAA0020	
												TNFSF15	
												PTBP3	
												GNE	
												SH2D3C	
												RCL1	
												TOPORS	
												RABEPK	
												SIGMAR1	
												LAMC3	
												TUBB4B	
												UBAC1	
												OLFM1	
												ZER1	
												CREB3	
												UNC13B	
												SEMA4D	
												ANP32B	
												AGPAT2	
												SPTLC1	
												POMT1	
												SMC2	
												DMRT2	
												RRAGA	
												ZBTB6	
												NEK6	
												SDCCAG3	
												NOXA1	
												CCL27	
												USP20	
												ACTL7A	
												GADD45G	
												SPIN1	
												SEC61B	
												SLC27A4	
												SLC35D2	
												CNTRL	
												WDR5	
												C9orf9	
												ADAMTS13	
												CACFD1	
												PSIP1	
												INSL6	
												SLC2A6	
												AKAP2	
												RPL35	
												MAN1B1	
												DCTN3	
												FRMPD1	
												DOLK	
												ZNF510	
												HABP4	
												PTGR1	
												TRIM32	
												FNBP1	
												SETX	
												ERP44	
												KDM4C	
												ZBTB43	
												SMC5	
												KANK1	
												FAM120A	
												PMPCA	
												VPS13A	
												ASTN2	
												AGTPBP1	
												BICD2	
												KIAA1045	
												KIAA0368	
												EXOSC2	
												NCS1	
												TDRD7	
												SLC44A1	
												ANGPTL2	
												NUP188	
												CDK20	
												DDX58	
												RABGAP1	
												TMEM2	
												TMEM245	
												SLC24A2	
												CIZ1	
												DNAJB5	
												DCAF12	
												DFNB31	
												NELFB	
												NIPSNAP3A	
												NSMF	
												GPSM1	
												GAPVD1	
												PHF19	
												ZNF658	
												SPATA31A7	
												FBXW2	
												SPAG8	
												OR1J4	
												OR2K2	
												FBXO10	
												GBGT1	
												LHX6	
												OSTF1	
												OR1L3	
												OR1L1	
												OR1J2	
												RANBP6	
												TRUB2	
												DNAI1	
												ST6GALNAC4	
												INVS	
												NDOR1	
												SIT1	
												SPINK4	
												TOR1B	
												TOR2A	
												NTMT1	
												PHPT1	
												CD274	
												ANAPC2	
												PKN3	
												DPP7	
												PSAT1	
												UBQLN1	
												SLC2A8	
												OBP2B	
												OBP2A	
												ST6GALNAC6	
												STOML2	
												DEC1	
												EXOSC3	
												ABHD17B	
												MRPS2	
												COQ4	
												CERCAM	
												EGFL7	
												C9orf53	
												UBAP1	
												GOLM1	
												PRRX2	
												C9orf114	
												CHMP5	
												C9orf156	
												RAB14	
												TMEM8B	
												C9orf78	
												POLE3	
												NANS	
												FBXW5	
												MRPL50	
												RC3H2	
												EPB41L4B	
												EQTN	
												TBC1D13	
												NUTM2F	
												DIRAS2	
												BNC2	
												HAUS6	
												ASPN	
												BSPRY	
												APTX	
												TOR4A	
												CNTLN	
												TEX10	
												FOCAD	
												UBE2R2	
												EXD3	
												FAM206A	
												NMRK1	
												NOL8	
												SPATA6L	
												C9orf40	
												TMEM38B	
												SMU1	
												RFK	
												NIPSNAP3B	
												STRBP	
												TBC1D2	
												HEMGN	
												KIF27	
												DENND4C	
												RABL6	
												CDK5RAP2	
												UBAP2	
												PLGRKT	
												CBWD1	
												BARX1	
												RNF20	
												LRRC8A	
												INPP5E	
												NPDC1	
												OR2S2	
												BARHL1	
												IFNK	
												SH3GLB2	
												REXO4	
												DOLPP1	
												KCNT1	
												KIAA1432	
												ZBTB26	
												GBA2	
												DENND1A	
												GPR107	
												SLC46A2	
												ZNF462	
												DMRT3	
												PRDM12	
												NAA35	
												SLC28A3	
												SUSD1	
												POLR1E	
												IPPK	
												DDX31	
												FAM129B	
												LRRC19	
												NOL6	
												WNK2	
												SECISBP2	
												C9orf16	
												MAPKAP1	
												DCAF10	
												ZCCHC6	
												GALNT12	
												EHMT1	
												MOB3B	
												CAAP1	
												CNTNAP3	
												ERMP1	
												SVEP1	
												RMI1	
												TRPM3	
												PTGES2	
												IFT74	
												FAM214B	
												GKAP1	
												PDCD1LG2	
												AKNA	
												ISCA1	
												DOCK8	
												ARPC5L	
												HDHD3	
												AIF1L	
												UCK1	
												ZNF484	
												FSD1L	
												CEP78	
												ZCCHC7	
												ANKRD20A1	
												GARNL3	
												HSDL2	
												C9orf64	
												C9orf89	
												HIATL2	
												NTNG2	
												HIATL1	
												HINT2	
												C9orf24	
												PIGO	
												PPAPDC3	
												ZDHHC12	
												FAM73B	
												ARHGEF39	
												C9orf3	
												FIBCD1	
												KIAA1984	
												TMEM141	
												C9orf37	
												FGD3	
												MVB12B	
												TPD52L3	
												WDR34	
												SAPCD2	
												C9orf69	
												LRSAM1	
												IL33	
												C9orf123	
												UAP1L1	
												SLC25A51	
												MRRF	
												ARRDC1	
												DPH7	
												ADAMTSL1	
												TMEM203	
												KIF12	
												PALM2	
												SLC25A25	
												WDR31	
												ZNF618	
												UHRF2	
												FAM122A	
												ZMYND19	
												GRIN3A	
												TMC1	
												RNF183	
												NACC2	
												C9orf116	
												C9orf41	
												C9orf57	
												C9orf85	
												C9orf135	
												LCN8	
												PTRH1	
												PIP5KL1	
												TAF1L	
												PTPDC1	
												ANKRD19P	
												ARID3C	
												RPP25L	
												C9orf131	
												OR13C5	
												OR13C8	
												OR13C3	
												OR13C4	
												OR13F1	
												OR1L8	
												OR1N2	
												OR1N1	
												TRPM6	
												SLC34A3	
												RNF38	
												GLIPR2	
												DAB2IP	
												CAMSAP1	
												C9orf62	
												C9orf66	
												LINGO2	
												NXNL2	
												C9orf163	
												MAMDC4	
												LCN6	
												AK8	
												OR1Q1	
												TTLL11	
												RASEF	
												TTC39B	
												TRMT10B	
												TTC16	
												FAM120AOS	
												FAM154A	
												FREM1	
												KIAA2026	
												ATP8B5P	
												ZNF483	
												C9orf84	
												KIAA1958	
												TSTD2	
												ZNF782	
												PRUNE2	
												C9orf96	
												KCNV2	
												OLFML2A	
												TMEM252	
												QSOX2	
												GLIS3	
												ZNF367	
												C9orf91	
												C9orf72	
												CCDC171	
												NAIF1	
												FAM219A	
												CCDC107	
												ANKS6	
												SUSD3	
												CBWD5	
												CDC26	
												ANKRD18A	
												PHYHD1	
												MORN5	
												OR1L4	
												TXNDC8	
												MAMDC2	
												FRMD3	
												C9orf43	
												FAM205A	
												CRB2	
												SCAI	
												C9orf117	
												C9orf47	
												SPATA31E1	
												LCN12	
												C9orf142	
												TPRN	
												TUSC1	
												FAM78A	
												OR13C9	
												OR13D1	
												FOXD4L3	
												IFNE	
												ZDHHC21	
												GPR144	
												QRFP	
												OR1J1	
												OR1B1	
												KIF24	
												MURC	
												FOXD4L4	
												GLT6D1	
												ENHO	
												PTAR1	
												ERCC6L2	
												SWI5	
												C9orf50	
												PNPLA7	
												C9orf169	
												ENTPD8	
												SPATA31A6	
												SPATA31D1	
												C9orf153	
												IER5L	
												C9orf171	
												LCN15	
												LRRC26	
												TMEM8C	
												FAM221B	
												OR13J1	
												CTSL3P	
												OR13C2	
												OR1L6	
												OR5C1	
												OR1K1	
												LCN9	
												FAM102A	
												TOMM5	
												FAM74A4	
												C9orf170	
												C9orf152	
												SNX30	
												WDR38	
												LCNL1	
												C9orf139	
												FAM166A	
												SOHLH1	
												PPAPDC2	
												ZBTB34	
												MIRLET7A1	
												MIRLET7D	
												MIRLET7F1	
												MIR147A	
												MIR181A2	
												MIR181B2	
												MIR199B	
												MIR31	
												ANKRD20A3	
												ANKRD20A2	
												NUTM2G	
												ANKRD18B	
												C9orf173	
												NRARP	
												FOXB2	
												C9orf129	
												FAM27A	
												DNAJC25	
												SPATA31A2	
												SPATA31A4	
												CBWD6	
												HRCT1	
												SPATA31A1	
												FOXD4L6	
												FOXD4L5	
												MSMP	
												MIR600HG	
												MIR602	
												FAM27D1	
												RNF208	
												SPATA31A3	
												SPATA31A5	
												CBWD7	
												CARD9	
												FAM74A3	
												CNTNAP3B	
												ANKRD20A4	
												FAM166B	
												FOXD4L2	
												MIR876	
												MIR873	
												C9orf92	
												IZUMO3	
												FAM27E3	
												FAM27C	
												FAM27B	
												MIR1299	
												MIR3074	
												MIR3154	
												MIR4291	
												MIR4290	
												MIR4289	
												CCDC180	
												MIR3689A	
												MIR3911	
												MIR3927	
												MIR3689B	
												MIR3689D1	
												MIR4477A	
												MIR3689F	
												MIR3960	
												MIR4665	
												MIR4475	
												MIR4674	
												MIR4478	
												MIR3689C	
												MIR3689D2	
												MIR4670	
												MIR3689E	
												MIR548AW	
